timestep,demand_el,pv,demand_th
340,235083.1870027,0,0.1652462541
341,237400.0960019,0,0.2065110107
342,246903.1151839,0,0.2841761088
343,272186.0384862,0,0.3362471821
344,302919.6979002,0,0.3148342741
345,313770.4012013,0,0.2907398382
346,315145.7774598,0.084359,0.2707035908
347,319096.5226856,0.20794,0.2496989953
348,322156.5040929,0.26362,0.2376359032
349,320033.4400697,0.25794,0.2312685068
350,315441.1602804,0.21806,0.2314042023
351,308356.5879422,0.14692,0.2342952614
352,304848.9169473,0.063073,0.2414053506
353,303962.7684855,0.00027026,0.2540014781
354,315459.6217067,0,0.2712170322
355,318639.6023849,0,0.282238908
356,311421.1847061,0,0.2693963518
357,294741.2860543,0,0.2493897975
358,281707.5190945,0,0.2074170142
359,277558.3135362,0,0.1430986333
360,262807.6339316,0,0.1368806714
361,248915.4106494,0,0.1395121852
362,238309.3212466,0,0.1424546429
363,231524.7470855,0,0.1489879614
364,227154.0044117,0,0.1652462541
365,225178.6317988,0,0.2065110107
366,221320.1937045,0,0.2841761088
367,219044.8229144,0,0.3362471821
368,232909.3540572,0,0.3148342741
369,248555.4128368,0,0.2907398382
370,262687.6346607,0.091501,0.2707035908
371,270819.8929408,0.2314,0.2496989953
372,276658.3190046,0.31736,0.2376359032
373,275167.5588318,0.34265,0.2312685068
374,267962.9872227,0.2898,0.2314042023
375,262553.7893201,0.19659,0.2342952614
376,262036.869384,0.08639,0.2414053506
377,265189.1579228,0.002534,0.2540014781
378,281749.0573037,0,0.2712170322
379,290061.3144901,0,0.282238908
380,283539.8156537,0,0.2693963518
381,266896.8398545,0,0.2493897975
382,260223.0342512,0,0.2074170142
383,261298.4123325,0,0.1430986333
384,250840.01434,0,0.1368806714
385,239693.9282182,0,0.131751677
386,228377.0739033,0,0.1345304574
387,219395.5900139,0,0.1407003534
388,215712.5354693,0,0.1560542619
389,212458.709086,0,0.1950236241
390,204811.0632459,0,0.2683685216
391,195340.3515598,0,0.3175430881
392,197080.3409875,0,0.2973212951
393,208798.7313242,0,0.2745671369
394,224670.9425759,0.051356,0.2556454262
395,236167.7957971,0.10563,0.2358092329
396,248144.6461018,0.10694,0.2244171627
397,247941.5704127,0.06994,0.2184039591
398,239375.4686148,0.054844,0.2185321065
399,232443.2030434,0.032835,0.2212623474
400,229406.2984189,0.011109,0.2279769307
401,231090.9035677,0,0.2398723857
402,250276.9408382,0,0.2561303069
403,263241.4774494,0,0.2665390796
404,261381.4887508,0,0.2544109037
405,251615.3942441,0,0.2355172345
406,246284.6574033,0,0.1958792303
407,249127.7170517,0,0.1351386253
408,235489.338381,0,0.1292665438
409,223175.5670465,0,0.1237197599
410,214147.9295914,0,0.1263291388
411,209643.3415769,0,0.1321229022
412,209306.4205472,0,0.1465407975
413,214175.6217308,0,0.1831344883
414,226747.8530333,0,0.2520080944
415,253793.8425462,0,0.2981848543
416,285381.342926,0,0.2791958332
417,298788.9537681,0,0.2578288263
418,302582.7768704,0.073828,0.2400606312
419,304968.9162182,0.1756,0.2214337026
420,310553.4976705,0.2285,0.210736122
421,309251.9671172,0.2317,0.2050894987
422,307784.2837272,0.18315,0.2052098338
423,303035.0818145,0.11281,0.2077736323
424,300118.1764609,0.043162,0.2140788775
425,298645.8777144,0.00017489,0.2252491553
426,311245.8011563,0,0.2405159524
427,316941.1511664,0,0.2502901799
428,311836.5667976,0,0.2389013683
429,296564.3519003,0,0.2211595052
430,284222.8884264,0,0.1839379346
431,275758.324473,0,0.1269002312
432,254167.6864285,0,0.1213861267
433,237880.0930854,0,0.0805337788
434,229553.9898292,0,0.0831244629
435,226350.9323681,0,0.0879323558
436,226410.9320036,0,0.1022871201
437,231252.4410478,0,0.139037883
438,241756.992606,0,0.1858856502
439,270072.2051762,0,0.2054020934
440,301392.0148748,0,0.192821022
441,313031.9441498,0,0.1729566842
442,312990.4059406,0.098843,0.1573130772
443,315311.9302964,0.2117,0.1439871948
444,317527.301451,0.24839,0.134547108
445,315519.6213421,0.22112,0.129526672
446,312727.330616,0.19697,0.1281142426
447,307955.0519204,0.14278,0.1298577221
448,306238.1392755,0.070014,0.135315582
449,305282.7604651,0.0028785,0.1469737268
450,317130.3807858,0,0.1596110157
451,322470.3483398,0,0.1674130372
452,318321.1427814,0,0.1603220202
453,301535.0909285,0,0.1453005856
454,288459.7857596,0,0.1166160704
455,278799.8444541,0,0.0836611198
456,258206.1234291,0,0.0788687163
457,242827.7553307,0,0.0728340042
458,234732.4199032,0,0.075176995
459,229230.9148692,0,0.0795252088
460,229304.7605743,0,0.0925075248
461,233061.660824,0,0.1257445746
462,242929.2931753,0,0.1681132618
463,270976.8150643,0,0.1857637523
464,303288.9264259,0,0.1743855478
465,313378.0958927,0,0.1564204245
466,313082.7130721,0.085616,0.1422724912
467,314107.3222311,0.15548,0.1302206864
468,315602.6977604,0.14604,0.1216831593
469,312404.2556559,0.080527,0.1171427234
470,309671.9645652,0.063467,0.1158653354
471,306048.9096561,0.03865,0.1174421221
472,304821.2248079,0.014077,0.1223781601
473,304816.6094513,0,0.1329216783
474,318385.7577735,0,0.1443507254
475,325954.9425518,0,0.1514068015
476,320508.8217966,0,0.1449937513
477,305001.2237142,0,0.1314085049
478,289170.5506717,0,0.1054664948
479,280341.3735492,0,0.0756623425
480,261575.3337268,0,0.0713281371
481,246847.7309051,0,0.0728340042
482,237977.0155734,0,0.075176995
483,233555.5039773,0,0.0795252088
484,232373.9726948,0,0.0925075248
485,234944.7263055,0,0.1257445746
486,244821.5893699,0,0.1681132618
487,271479.8889307,0,0.1857637523
488,304082.7677564,0,0.1743855478
489,313493.479807,0,0.1564204245
490,312321.1792376,0.10665,0.1422724912
491,312468.870648,0.20835,0.1302206864
492,317019.6122281,0.23085,0.1216831593
493,315907.3112942,0.18924,0.1171427234
494,314015.0150996,0.18514,0.1158653354
495,311038.1101106,0.14878,0.1174421221
496,308661.2014759,0.083322,0.1223781601
497,307031.980606,0.0045477,0.1329216783
498,318658.0638112,0,0.1443507254
499,324113.4152795,0,0.1514068015
500,320227.2850457,0,0.1449937513
501,304701.225537,0,0.1314085049
502,290329.0051713,0,0.1054664948
503,280945.9852601,0,0.0756623425
504,261344.5658982,0,0.0713281371
505,244996.9729196,0,0.0966308533
506,236486.2554006,0,0.0997393628
507,229895.5262156,0,0.1055082562
508,229549.3744726,0,0.1227322478
509,232152.4355793,0,0.1668287453
510,242006.2218609,0,0.2230404343
511,269052.2113737,0,0.2464578199
512,301202.7852553,0,0.2313620466
513,313415.0187452,0,0.2075272292
514,313876.5544025,0.11259,0.1887567815
515,314388.858982,0.26216,0.1727673245
516,315791.9273799,0.36644,0.1614403552
517,307239.6716517,0.4109,0.1554164355
518,302324.3169024,0.33065,0.15372169
519,299162.7976504,0.21205,0.1558136558
520,296416.66049,0.089959,0.1623624316
521,295821.2794922,0.0064264,0.1763508039
522,310936.572266,0,0.1915140313
523,315958.0802165,0,0.2008755193
524,309390.4278143,0,0.1923671513
525,293338.2176564,0,0.1743432356
526,278702.9219661,0,0.1399252656
527,273866.0282785,0,0.1003832865
528,257139.976061,0,0.0946329785
529,241895.4533032,0,0.1237197599
530,232410.8955474,0,0.1263291388
531,225621.7060297,0,0.1321229022
532,222354.0335767,0,0.1465407975
533,220997.1187444,0,0.1831344883
534,218001.7523291,0,0.2520080944
535,216178.6864831,0,0.2981848543
536,230527.8300659,0,0.2791958332
537,248749.2578128,0,0.2578288263
538,262544.558607,0.11674,0.2400606312
539,270362.9726402,0.2322,0.2214337026
540,275204.4816844,0.27641,0.210736122
541,272536.8055857,0.25711,0.2050894987
542,263541.4756266,0.2089,0.2052098338
543,256756.9014655,0.13572,0.2077736323
544,255275.3720058,0.058979,0.2140788775
